locale,generation,reference_type,reference,era,quote_fragments,how_used,avoid_when,caution,sources
United Kingdom,older,TV comedy,Dad’s Army,1968-1977,Don’t panic|stupid boy|they don’t like it up ’em,Gentle wartime sitcom shorthand; mild panic or muddle,"Serious war, veterans’ grief, anti-German jokes",Older-skewing; England-heavy memory,BBC; BFI
United Kingdom,older,TV comedy,Only Fools and Horses,1980s-2000s,lovely jubbly|this time next year|plonker,Optimistic wheeler-dealer humour; London working-class nostalgia,Formal/legal/class-sensitive copy,Beloved but South London/class-coded,BBC; BFI
United Kingdom,older,TV comedy,Morecambe and Wise,1960s-1980s,bring me sunshine|all the right notes|not necessarily in order,Warm family-TV nostalgia and old-school light entertainment,Youth-led or edgy contexts,Mainly older/all-age via repeats,BBC; BFI
United Kingdom,older,film/comedy,Carry On films,1950s-1990s,ooh matron|saucy seaside humour|nudge-nudge energy,Retro innuendo or camp British farce,Inclusive workplace or gender-sensitive tone,Many jokes have dated badly,BFI
United Kingdom,gen-x,TV comedy,Blackadder,1980s,cunning plan|as cunning as a fox|Baldrick energy,"Dry sarcasm, failed schemes, historical absurdity",Where sarcasm may read as contempt,Educated/comedy-fan skew; not universal,BBC; BFI
United Kingdom,gen-x,TV comedy,Absolutely Fabulous,1990s-2010s,sweetie darling|champagne chaos|PR meltdown,Fashion/media excess and camp self-mockery,Addiction/body image/serious parenting contexts,London/media-class coded,BBC; BFI
United Kingdom,gen-x,film,Trainspotting,1990s,choose life|it’s shite being Scottish|Renton energy,1990s grit; Scottish cultural marker; anti-glamour,"Drug harm, Scotland stereotyping, public health copy",Dark and regional; use sparingly,BFI; Irvine Welsh
United Kingdom,millennial,TV comedy,The Office UK,2000s,David Brent energy|cringe manager|free love on the free love freeway,Awkward workplace cringe and bad-manager shorthand,"Actual HR, harassment, or dignity-at-work contexts",Humour is intentionally uncomfortable,BBC; BFI
United Kingdom,millennial,TV comedy,The Inbetweeners,2000s,briefcase wanker|bus wankers|friend!,Teen awkwardness and laddish embarrassment,Professional/school-safeguarding/abuse contexts,Crude; gender/class jokes can date poorly,Channel 4; BFI
United Kingdom,millennial,TV comedy,Peep Show,2000s-2010s,chance would be a fine thing|clean shirt|Mark and Jez energy,Inner-monologue anxiety and petty adult dysfunction,Mental-health support or serious relationship advice,Cult but very online among millennials,Channel 4; BFI
United Kingdom,millennial,TV comedy,Gavin & Stacey,2000s-2010s,what’s occurring?|tidy|oh my Christ,"Welsh/Essex warmth, family banter, festive TV",Mocking Welsh/Essex accents or class,Regional affection can become caricature,BBC; BFI
United Kingdom,gen-z,TV/internet,Love Island UK,2010s-2020s,my type on paper|I’ve got a text|muggy,Dating drama shorthand and influencer-era slang,"Serious romance, body image, or privacy contexts",Strong taste divide; not all Gen-Z watch,ITV; Ofcom
United Kingdom,gen-z,internet,Chicken Shop Date,2010s-2020s,awkward flirting|deadpan chicken shop chat|Amelia energy,Dry internet celebrity interview tone,Food poverty or high-street stereotyping,Urban/London-coded and celebrity-dependent,YouTube; Channel 4/BBC coverage
United Kingdom,gen-z,internet/comedy,KSI / Sidemen,2010s-2020s,Sidemen Sunday|YouTube lads|challenge video energy,UK creator culture and online group challenges,Where lad culture or influencer hype feels off,"Male/YouTube-skewing, not all Gen-Z",YouTube; BBC coverage
United Kingdom,all-age,civic/media,BBC and licence-fee culture,1920s-present,as seen on the BBC|national broadcaster|licence fee row,"Public-service media, national moments, trust/debate",Partisan arguments where neutrality is needed,Politically contested despite broad recognition,BBC; Ofcom
United Kingdom,all-age,civic,NHS,1948-present,our NHS|free at point of use|clap for carers,"Care, public pride, civic solidarity, health admin",Commercialising care or implying no problems,Highly emotive; systems differ across UK nations,NHS; UK Parliament
United Kingdom,all-age,TV/sci-fi,Doctor Who,1960s-present,TARDIS|bigger on the inside|regenerate,"Time travel, reinvention, eccentric British sci-fi",Medical contexts if confusing; niche detail overload,Broadly known; fandom depth varies,BBC; BFI
United Kingdom,all-age,film,James Bond,1960s-present,shaken not stirred|Bond villain|Q gadget,"Spy glamour, gadgets, suave cliché","Gender politics, violence, colonial nostalgia",Recognised but values have shifted,Eon; BFI
