term,category,register,region_or_group,meaning,usage_notes,avoid_when
eh,tag,casual,varies/national stereotype,tag inviting agreement,Use sparingly; real but over-stereotyped,every sentence
for sure,agreement,casual/common,national,definitely/yes,Natural Canadian/North American,formal
no worries,pragmatic phrase,casual/common,national,no problem,Common,very formal
yeah no,discourse marker,casual,national,agreement/disagreement depending intonation,North American; context needed,formal
washroom,facility,common,national,public toilet/restroom,Very Canadian public term,home bathroom context
bathroom,facility,common,national,toilet room,Home/common term,public signage often washroom
toque,clothing,common,national,knit winter hat/beanie,Strong Canadianism,warm climates/international without context
loonie,money,common,national,one-dollar coin,Currency term,formal finance
toonie,money,common,national,two-dollar coin,Currency term,formal finance
double-double,food/drink,casual/common,Tim Hortons/national,coffee with two cream two sugar,Cultural shorthand,formal
Tims/Timmies,place,casual,national,Tim Hortons,Common nickname,formal
pop,drink,common/regional,much of Canada,soda/soft drink,Common Canadian term,where soda preferred
hydro,utility,regional/common,ON/QC/BC/MB and others,electricity/electric utility,Province-dependent,where not used
parkade,place,regional,Western Canada,parking garage,Regional,national default
chesterfield,furniture,older/regional,older Canada,sofa/couch,Older Canadianism,modern youth voice
runners,clothing,common,Canada esp West,athletic shoes/sneakers,Common,US sneakers
pencil crayon,object,common,Canada,coloured pencil,Canadian school term,US colored pencil
eavestrough,home,common,Canada,gutter,Canadian term,US/UK copy
garburator,home,regional,Western Canada,garbage disposal,Regional brand/generic,national certainty
bunnyhug,clothing,regional,Saskatchewan,hoodie,Very Saskatchewan,outside SK
deke,sport,hockey/common,national hockey context,fake-out move,Hockey term,non-sport
rink,place,common,national,ice rink,Community/sport signal,overusing hockey
snowbird,person,common,national,Canadian spending winter in warmer place,Older/retiree context,general traveller
cottage,place,regional,Ontario/general,holiday lake house,Ontario-coded; elsewhere cabin/chalet,national certainty
cabin,place,regional,West/North,holiday/rural cabin,Regional alternative,assuming cottage
depanneur/dep,place,regional,Quebec anglophone,corner store/convenience store,Quebec context,outside QC
allophone,language,formal/common QC,Quebec/Canada,person with first language neither English nor French,Sociolinguistic term,casual voice
anglo,identity,common,Quebec/Canada,English-speaking Canadian/person,Context-sensitive,careless identity claims
franco,identity,common,Canada,French-speaking Canadian/person,Context-sensitive,careless identity claims
newcomer,person,public/social,national,recent immigrant,Common institutional term,dehumanising alternatives
First Nations,identity,formal/common,Canada,Indigenous peoples excluding Inuit/Métis in specific usage,Use precisely,pan-Indigenous flattening
Métis,identity,formal/common,Canada,Distinct Indigenous people/nation,Accent matters,generic Indigenous
Inuit,identity,formal/common,North/Canada,Indigenous peoples of Inuit Nunangat,Use Inuit not Eskimo,outdated terms
residential school,history,serious/formal,national,forced assimilation school system,Heavy context; not casual colour,throwaway reference
province,admin,common,national,subnational unit,Canada has provinces and territories,state default
territory,admin,common,North/Canada,Yukon/NWT/Nunavut,Do not erase territories,province-only phrasing
postal code,admin,common,national,zip/postcode,Format A1A 1A1,zip code
grade one,education,common,national,first grade/year one,Canadian school grade phrasing,UK year one
university,education,common,national,degree-granting institution,College differs,US college default
college,education,common,national,post-secondary diploma/applied institution often,Not always university,US assumption
sorry,pragmatic phrase,common,national,apology/softener,Common but stereotype overstates,constant parody
beauty,evaluation,casual,regional/older,great/excellent,Can be hoser/comic,default voice
buddy,address,casual,national,friend/person,Warm or condescending by tone,formal
give’r,phrase,casual,rural/West/working-class,go hard/do it,Informal cultural marker,formal
out for a rip,phrase,casual/comic,Ontario/rural internet-coded,going for a drive/ride,Meme/comic-coded,normal speech unless character
mickey,alcohol,casual,Canada,375 ml bottle of spirits,Canadian alcohol term,formal
two-four,alcohol,casual,Canada,case of 24 beers,Cultural shorthand,formal
May Two-Four,holiday,casual,Canada,Victoria Day long weekend,Pun on date/beer case,formal
lineup,queue,common,Canada,line/queue,Canadian/British overlap,US-only line assumption
wash the dishes in the sink,home phrasing,neutral,national,ordinary phrasing,No special marker; good localness is often boring,over-localising
