type,reference,how_used,caution
film,The Castle,"vibe, fairness, battler humour, “tell him he’s dreaming”",widely recognisable but age-skews older
comedy,Kath & Kim,"suburban satire, malapropisms",quote lightly
tv,Bluey,"warm family reference, Brisbane/AU everyday life",broad modern recognition
sport,footy,code depends on state,ask/avoid if unclear
phrase,yeah nah / nah yeah,soft disagreement/agreement,don’t overuse
food,Bunnings sausage sizzle,community/weekend shorthand,casual only
music,pub rock / Triple J,generational and taste-coded,avoid assuming universality
public life,local council / rates / bins,everyday suburban and regional civic shorthand,keep mundane; avoid party-political detail
weather,fire season / flood watch / cyclone season,practical planning context varies by region,do not universalise one hazard nationally
sport,AFL/NRL/cricket/netball,identity marker that changes by state and season,ask or stay generic if code unclear
retail,Bunnings / Woolies / Coles,ordinary errand shorthand,use sparingly; brands are not personality
travel,the school run / commute / a long drive,city-suburb-regional distance signal,avoid outback default
