foreign_trope,why_false_or_incomplete,real_local_signal,use_instead
Everyone is posh/stiff-upper-lip,Class/regional range is huge; RP is not default,"understatement, indirectness, dry humour, local class/register cues",Choose formal/region/class layer deliberately
Everyone talks like London or royalty,UK has many accents and nations; London is not Britain,"region/nation markers: Scotland, Wales, North, Midlands, NI",Use light Standard British unless specific region
Tea and monarchy explain everything,Recognisable but reductive,"NHS, councils, trains, pubs, weather, football, class codes",Use everyday institutional/social references
Chav/roadman equals working class,Loaded stereotypes; often racialised/class contempt,specific local youth or class markers with care,Avoid unless requested and contextualised
British politeness means agreement,Soft phrasing can hide disagreement,“I’m not sure that works” can mean no,Preserve indirectness but read force correctly
All British dialogue should be quaint slang,Overloading slang sounds foreign-written and erases ordinary voices,"plain contemporary wording with light local vocabulary: queue, bin, GP, council, train",Use one or two context-fit terms rather than a slang checklist
Northern England is one accent or one class stereotype,"Northern cities, towns and rural areas differ sharply","place-specific cues: Manchester, Liverpool, Leeds, Newcastle, Sheffield, Cumbria, Yorkshire",Name the place or keep it broad and avoid phonetic dialect
Scotland/Wales/Northern Ireland are decorative accents,"They have distinct institutions, histories and local identities","nation-specific references such as devolved services, local media, bilingual signs where relevant","Treat as nations, not flavour text; avoid fake spellings"
UK rural life is all cosy villages and aristocrats,"Rural Britain includes farming, market towns, commuters, tourism and deprivation","bus scarcity, parish/community halls, local pubs/shops, broadband, school runs",Use practical rural signals without pastoral cliché
London equals the whole UK,London is large and diverse but not a national default,"borough, Tube, rent and multicultural cues only when the setting is London","For generic UK, avoid London-only terms like Tube"
Everyone is emotionally repressed,"Understatement and indirectness vary by class, region, relationship and setting","polite hedging, humour, directness in some regions, warmth in close relationships",Calibrate by context instead of making every line chilly
