use,avoid,notes
colour/favour,color/favor,-our
organise/realise,organize/realize,-ise preferred
licence noun/license verb,license for both,noun/verb split
practise verb/practice noun,practice for both,noun/verb split
travelling/modelling,traveling/modeling,double consonant
centre/theatre,center/theater,-re
tyre/kerb/grey,tire/curb/gray,common AU forms
program for software; programme rare elsewhere,programme for apps/software,AU uses program especially computing
enrol/enrolled/enrolling,enroll/enrolled/enrolling,single l in enrol; doubled when suffixed
cheque for bank instrument; check for verify,check for bank instrument,banking term is cheque
mum,mom,family term; some communities vary but mum is broad default
