term,local_meaning,trap
root for,sexual slang issue,use support
thongs,footwear,US underwear
public school,government school,UK elite private school
first floor,one above ground,US ground floor
table a proposal,put forward,US can mean postpone
chips,hot chips or crisps depending context,US fries/chips split can confuse; specify if needed
biscuit,sweet biscuit or cracker-like item by context,US biscuit is a scone-like bread
jumper,sweater/pullover,US jumper can mean pinafore dress
tea,evening meal or drink depending region/family,not always only the beverage
college,residential college or secondary/private institution in some states,US college means tertiary institution broadly
