term,local_meaning,trap
eh,tag/question marker sometimes,not every sentence
hydro,electricity in some provinces,water elsewhere
college,"post-secondary college, not always university",US college broader
washroom,public toilet/restroom,UK may say toilet
football,often Canadian/American football,soccer also common
public school,government-funded K-12 school,UK elite private school meaning
tuition,university/college fees,UK tutoring meaning as default
washroom,toilet/restroom room,laundry room meaning
hydro,electricity/utility in several provinces,water-only meaning
college,college/polytechnic or CEGEP context; not always university,US four-year college default
camp,remote worksite or Northern Ontario cottage context depending speaker,children-only camp default
First Nations,"specific Indigenous peoples/communities, not all Indigenous peoples",using as blanket synonym for Inuit or Métis
pencil crayons,coloured pencils,literal crayon-only reading
