region,signals,cautions
Ontario,general media/business default; hydro,not all Canada is Toronto
Toronto/GTA,"multicultural urban, business North American",do not force eh
Quebec anglophone,bilingual names/context,language politics matter
Atlantic Canada,distinct rhythm; Newfoundland highly distinct,avoid phonetic imitation
Prairies,rural/agricultural; bunnyhug in Saskatchewan,local terms only locally
Alberta,energy/western; US-adjacent business at times,not Texas
BC,"West Coast casual, outdoors/tech",not California
North/territories,community/Indigenous context,avoid southern assumptions
Atlantic Canada,"Newfoundland/Labrador, Maritimes, fishing/energy/universities, outmigration and local pride",do not flatten Newfoundland and the Maritimes together
Newfoundland and Labrador,"distinct speech, outport/St. John’s/Labrador differences, strong local identity",avoid “Newfie” jokes or phonetic parody
Nova Scotia / Halifax,"Atlantic urban centre, universities, harbour, rural/coastal contrasts",not only lobster/fishing imagery
Prairies,"Winnipeg/Regina/Saskatoon/Calgary/Edmonton plus farms, energy, universities, long distances",not empty or culturally uniform
Alberta,"Calgary/Edmonton contrast, energy sector, mountains, prairie, newcomers",not all cowboy/oil stereotype
British Columbia,"Vancouver/Island/Interior/North differences, rain/coast/mountains/wildfire",BC is not just Vancouver lifestyle
Northern Canada,"Yukon, Northwest Territories, Nunavut; Indigenous languages, fly-in/logistics, small capitals",avoid wilderness backdrop and use community-specific care
Quebec anglophone,"Montreal and regional English communities, bilingual context, CEGEP/depanneur",do not treat as foreign or merely French-accented English
