region,signals,cautions
NSW/Sydney,broad media/corporate default; swimmers; rugby league,avoid assuming all AU is Sydney
Victoria/Melbourne,"AFL, coffee/culture, bathers",avoid Sydney terms as default
Queensland,"more casual, rugby league, coastal/regional tone",avoid caricature
South Australia,fritz; slightly more British older register,local terms only for local audience
WA,Perth/mining/remoteness; bathers,distance matters
Tasmania,smaller-community tone,avoid rural parody
NT,"remote/regional, Indigenous/community context",avoid southern-city assumptions
ACT,public service/policy register,can sound bureaucratic
Brisbane / SE Queensland,togs; humid weather; NRL; suburban sprawl; river/coast references,not the same as tropical north or outback Queensland
Regional Victoria,AFL/netball clubs; V/Line or long drives; fire/flood seasons; local shops,avoid making it miniature Melbourne
Western Sydney,multicultural suburbs; commute corridors; rugby league; practical directness,avoid flattening into crime/news stereotypes
Far North Queensland,wet/dry season; cyclone prep; tourism/service work; reef/rainforest proximity,do not write as permanent holiday mode
Top End / Darwin,build-up/wet/dry season; distance; Defence/public service/tourism mix,avoid exoticising Indigenous or remote communities
Inner-city Melbourne/Sydney,"apartments, trams/trains, rents, cafes, diverse neighbourhoods",not representative of all Australians
