locale,rank,sport,code,team,league,current_players,notable_historic_players,notes,caution,sources
NSW/Sydney,1,Rugby league,NRL,Sydney Roosters,NRL,James Tedesco; Sam Walker; Angus Crichton,Brad Fittler; Anthony Minichiello; Arthur Beetson,Sydney NRL seed; Sydney loyalties are club/suburb-specific.,Evidence only; do not imply all Sydneysiders support Roosters.,nrl.com; roosters.com.au
NSW/Sydney,2,Australian rules football,AFL,Sydney Swans,AFL,Isaac Heeney; Errol Gulden; Chad Warner,Adam Goodes; Bob Skilton; Paul Kelly; Lance Franklin,Prominent Sydney AFL reference.,AFL is significant in Sydney but NRL is stronger in much NSW culture.,afl.com.au; sydneyswans.com.au
NSW/Sydney,3,Rugby union,Rugby union,NSW Waratahs,Super Rugby Pacific,Angus Bell; Jake Gordon; Max Jorgensen,Phil Waugh; Nick Farr-Jones; David Campese; Michael Hooper,Waratahs/Tahs is common Sydney rugby-union shorthand.,Audience is substantial but not universal.,waratahs.rugby; super.rugby
VIC/Melbourne,1,Australian rules football,AFL,Collingwood Magpies,AFL,Nick Daicos; Darcy Moore; Jordan De Goey,Nathan Buckley; Gordon Coventry; Peter Daicos; Lou Richards,High-salience Melbourne AFL seed.,Melbourne has many AFL clubs; never infer allegiance.,afl.com.au; collingwoodfc.com.au
VIC/Melbourne,2,Rugby league,NRL,Melbourne Storm,NRL,Cameron Munster; Harry Grant; Ryan Papenhuyzen,Cameron Smith; Billy Slater; Cooper Cronk; Greg Inglis,Main Melbourne rugby-league reference.,NRL footprint is smaller than AFL locally despite Storm success.,nrl.com; melbournestorm.com.au
VIC/Melbourne,3,Soccer,A-League Men,Melbourne Victory,A-League Men,Daniel Arzani; Bruno Fornaroli; Zinedine Machach,Archie Thompson; Kevin Muscat; Besart Berisha,Established Melbourne soccer seed.,A-League rosters change often.,melbournevictory.com.au; aleagues.com.au
QLD/Brisbane,1,Rugby league,NRL,Brisbane Broncos,NRL,Payne Haas; Reece Walsh; Adam Reynolds,Darren Lockyer; Allan Langer; Wally Lewis; Steve Renouf,Clearest Brisbane rugby-league reference.,"Broncos are Brisbane-specific, not all-Queensland.",nrl.com; broncos.com.au
QLD/Brisbane,2,Australian rules football,AFL,Brisbane Lions,AFL,Lachie Neale; Harris Andrews; Hugh McCluggage,Michael Voss; Jonathan Brown; Simon Black; Jason Akermanis,Major Brisbane AFL seed.,Rugby league is generally stronger culturally in Queensland.,afl.com.au; lions.com.au
QLD/Brisbane,3,Cricket,BBL,Brisbane Heat,Big Bash League,Usman Khawaja; Marnus Labuschagne; Matt Renshaw,Chris Lynn; James Hopes; Andy Bichel,Recognisable Brisbane cricket/T20 identity.,BBL availability changes by season and national duty.,brisbaneheat.com.au
WA/Perth,1,Australian rules football,AFL,West Coast Eagles,AFL,Harley Reid; Oscar Allen; Liam Duggan,Ben Cousins; Chris Judd; Dean Cox; Peter Matera,Major Perth/WA sporting brand.,Perth AFL loyalties split strongly with Fremantle.,afl.com.au; westcoasteagles.com.au
WA/Perth,2,Australian rules football,AFL,Fremantle Dockers,AFL,Andrew Brayshaw; Caleb Serong; Luke Jackson,Matthew Pavlich; Peter Bell; Aaron Sandilands; David Mundy,Essential second Perth AFL identity; Freo is locally salient.,Do not conflate Dockers and Eagles support.,afl.com.au; fremantlefc.com.au
WA/Perth,3,Cricket,BBL,Perth Scorchers,Big Bash League,Mitchell Marsh; Ashton Agar; Josh Inglis,Shaun Marsh; Adam Voges; Brad Hogg; Justin Langer,Successful Perth BBL side and cricket shorthand.,BBL availability changes seasonally.,perthscorchers.com.au
SA/Adelaide,1,Australian rules football,AFL,Adelaide Crows,AFL,Jordan Dawson; Izak Rankine; Riley Thilthorpe,Mark Ricciuto; Andrew McLeod; Tony Modra; Simon Goodwin,Major Adelaide/SA AFL identity.,SA AFL loyalties split strongly with Port Adelaide.,afl.com.au; afc.com.au
SA/Adelaide,2,Australian rules football,AFL,Port Adelaide Power,AFL,Connor Rozee; Zak Butters; Jason Horne-Francis,Gavin Wanganeen; Warren Tredrea; Russell Ebert; Robbie Gray,Essential Port Adelaide identity with SANFL/AFL depth.,Avoid flattening Port into generic Adelaide.,afl.com.au; portadelaidefc.com.au
SA/Adelaide,3,Cricket,BBL,Adelaide Strikers,Big Bash League,Matt Short; Alex Carey; DArcy Short,Jason Gillespie; Travis Head; Rashid Khan,Adelaide cricket seed; Adelaide Oval association is strong.,BBL rosters change seasonally.,adelaidestrikers.com.au
TAS/Hobart,1,Cricket,BBL,Hobart Hurricanes,Big Bash League,Tim David; Nathan Ellis; Riley Meredith,George Bailey; Ben Hilfenhaus; Ricky Ponting; David Boon,Clear Hobart/Tasmania T20 cricket identity.,Verify BBL contracts annually.,hobarthurricanes.com.au
TAS/Hobart,2,Basketball,NBL,Tasmania JackJumpers,NBL,Jack McVeigh; Will Magnay; Clint Steindl,N/A - club founded 2021,Very strong recent Tasmanian sports identity.,Young club; historic list is intentionally short.,jackjumpers.com.au
TAS/Hobart,3,Australian rules football,AFL,Tasmania Devils,AFL future team,N/A - senior AFL team not yet playing,Darrel Baldock; Peter Hudson; Ian Stewart; Royce Hart,Tasmania AFL identity is culturally important; licence awarded for future entry.,Do not present as an active playing list before debut.,afl.com.au/tasmania
ACT/Canberra,1,Rugby league,NRL,Canberra Raiders,NRL,Joseph Tapine; Hudson Young; Josh Papalii,Mal Meninga; Laurie Daley; Ricky Stuart; Bradley Clyde,Primary Canberra rugby-league reference; Green Machine shorthand.,Support extends into regional NSW; evidence only.,nrl.com; raiders.com.au
ACT/Canberra,2,Rugby union,Rugby union,ACT Brumbies,Super Rugby Pacific,Allan Alaalatoa; Rob Valetini; Tom Wright,George Gregan; Stephen Larkham; George Smith; Joe Roff,Major Canberra rugby-union identity.,Prominence varies by audience/demographic.,brumbies.rugby; super.rugby
ACT/Canberra,3,Soccer,A-League Women,Canberra United,A-League Women,Michelle Heyman; Vesna Milivojevic; Sasha Grove,Lydia Williams; Caitlin Munoz; Ellie Brush,Useful Canberra soccer reference; women’s side has strong local identity.,Rosters change; verify current squad.,canberraunited.com.au
