locale,generation,reference_type,reference,era,quote_fragments,how_used,avoid_when,caution,sources
Australia,older,TV/comedy,Dame Edna Everage,1950s-2000s,Hello possums|megastar|gladdies,Camp theatrical humour; older/all-age showbiz reference,"Serious, Indigenous, migrant, or formal civic contexts",Barry Humphries persona; class/taste-specific and can feel dated,Barry Humphries/Dame Edna public bios; ABC/Britannica
Australia,older,TV,Skippy the Bush Kangaroo,1960s,What’s that Skippy?|bush rescue|the clever roo,Nostalgic old TV and bush-image shorthand,As literal current culture or rural authenticity,Export-facing bush Australiana; mostly nostalgic,NFSA; Screen Australia
Australia,older,film,Crocodile Dundee,1980s,that’s not a knife|call that a knife?|g’day mate,Exaggerated Aussie bravado or tourist-era references,Nuanced modern identity or serious local voice,Internationally famous but often cliché in Australia,NFSA; Screen Australia
Australia,gen-x,film,The Castle,1990s,it’s the vibe|tell him he’s dreaming|straight to the pool room,"Fairness, family pride, anti-bureaucratic humour, battler warmth","Legal advice, property disputes, or solemn civic copy",Beloved but class-coded; quote fragments beat long quotation,NFSA; Screen Australia
Australia,gen-x,film,Muriel’s Wedding,1990s,you’re terrible Muriel|ABBA dreams|Porpoise Spit,"Awkward ambition, reinvention, camp 1990s Australiana","Body-shaming, mental health, family trauma, or cruelty contexts",Comedy has darker undertones; use with care,NFSA; Screen Australia
Australia,gen-x,film,Strictly Ballroom,1990s,a life lived in fear|new steps|Pan-Pacific Grand Prix,Flamboyant ambition; breaking rules in kitsch settings,Implying all AU culture is camp/dance-focused,Recognised more among film/theatre-aware audiences,NFSA; Screen Australia
Australia,gen-x,TV/comedy,Kath & Kim,2000s,"look at moi|noice, different, unusual|foxy moron",Suburban camp humour; affectionate class/taste satire,"Earnest class commentary, workplace formality, or punching down",Quote lightly; can become caricature quickly,ABC; Screen Australia
Australia,millennial,TV/comedy,Summer Heights High / Chris Lilley,2000s,Mr G energy|private school girl parody|school musical chaos,Edgy 2000s schoolyard/comedy reference; often ironic,"Race, disability, bullying, or identity-sensitive contexts",Some characters are controversial; safest as metadata not flavour,ABC; Screen Australia
Australia,millennial,radio/TV,Hamish & Andy,2000s-2010s,caravan of courage|people’s island|ghosting trips,Light commercial-radio matey humour and nostalgia,Serious political/regional identity inference,Recognition varies by media habits and cohort,Network Ten/Nine; radio archive
Australia,millennial,internet/comedy,Aunty Donna,2010s-2020s,morning brown|haven’t you done well|absurd sketch energy,Surreal online comedy signal for millennial/Gen-Z audiences,"Mainstream, formal, or brand-safe contexts",Niche outside online comedy fans,Aunty Donna official; ABC/Netflix listings
Australia,gen-z,TV/internet,Bluey,2010s-2020s,for real life|keepy uppy|dollarbucks,Gentle Brisbane/AU domestic warmth; all-age family reference,Infantilising adults or forcing childlike tone,Children’s show with adult fandom; not Gen-Z-only,ABC; BBC Studios
Australia,gen-z,TV/internet,H2O: Just Add Water meme revival,2000s-2020s,"Cleo, Emma, Rikki|moon pool|Aussie mermaid edit",Streaming/TikTok nostalgia and fandom cue,Broad national signal or formal localisation,Fandom-specific; often known through meme revival,Network Ten; streaming/fandom references
Australia,all-age,civic,Democracy sausage,2010s-2020s,democracy sausage|snag at the polling booth|sausage sizzle,Light civic participation reference around elections,Non-election contexts or solemn voting-rights copy,Playful shorthand; not universal polling experience,Australian Electoral Commission; media explainers
Australia,all-age,sport/media,Footy codes and finals,ongoing,the big dance|footy tipping|State of Origin,Seasonal community/sport shorthand where code is known,Assuming AFL nationally or NRL nationally,Code varies strongly by state and audience,AFL/NRL/Cricket Australia/Netball Australia
