term,local_meaning,trap
pants,underwear,AU/US trousers
public school,elite private school,AU government school
quite good,somewhat good,US very good
momentarily,for a moment,US soon
football,association football,US American football
tea,evening meal or drink depending region/context,US/foreign assumption it only means hot drink
scheme,plan or programme in neutral UK use,US sense of underhand plot
homely,plain/unattractive in UK use,US cosy/home-like meaning
garden,private yard/outdoor space,US flower/vegetable garden only
football,association football by default,US American football
rubber,eraser,US condom sense
surgery,doctor/dentist office session or premises,operation-only reading
public school,fee-paying elite school in England/Wales,state school meaning in many countries
