locale,rank,sport,code,team,league,current_players,notable_historic_players,notes,caution,sources
Ontario/Toronto,1,Ice hockey,NHL,Toronto Maple Leafs,NHL,Auston Matthews; William Nylander; Morgan Rielly,Darryl Sittler; Mats Sundin; Borje Salming,High-salience Toronto/Ontario hockey seed.,Hockey interest is not universal.,nhl.com/mapleleafs/roster
Ontario/Toronto,2,Basketball,NBA,Toronto Raptors,NBA,Scottie Barnes; Immanuel Quickley; RJ Barrett,Vince Carter; Kyle Lowry; DeMar DeRozan,Toronto/Canada NBA marker.,National fandom; weak locality evidence.,nba.com/raptors/roster
Ontario/Toronto,3,Baseball,MLB,Toronto Blue Jays,MLB,Vladimir Guerrero Jr.; Bo Bichette; Kevin Gausman,Roberto Alomar; Roy Halladay; Jose Bautista,Toronto/Canada MLB marker.,National fandom weakens locality specificity.,mlb.com/bluejays/roster
Montreal/Quebec,1,Ice hockey,NHL,Montreal Canadiens,NHL,Nick Suzuki; Cole Caufield; Lane Hutson,Maurice Richard; Jean Beliveau; Guy Lafleur,Historic Montreal/Quebec hockey institution.,Do not infer language/ethnicity/identity.,nhl.com/canadiens/roster
Montreal/Quebec,2,Canadian football,CFL,Montreal Alouettes,CFL,Cody Fajardo; Tyson Philpot; Marc-Antoine Dequoy,Anthony Calvillo; Ben Cahoon; Mike Pringle,Montreal CFL seed.,Sports fandom is weak evidence only.,montrealalouettes.com; cfl.ca
Montreal/Quebec,3,Soccer,MLS,CF Montreal,Major League Soccer,Samuel Piette; Josef Martinez; Mathieu Choiniere,Patrice Bernier; Ignacio Piatti; Didier Drogba,Montreal soccer seed.,Rosters change frequently.,cfmontreal.com; mlssoccer.com
Nova Scotia/Halifax,1,Soccer,CPL,HFX Wanderers FC,Canadian Premier League,Andre Rampersad; Ryan Telfer; Lorenzo Callegari,Joao Morelli; Peter Schaale; Jan-Michael Williams,Compact Halifax pro-soccer seed.,CPL rosters change; verify.,hfxwanderersfc.canpl.ca
Nova Scotia/Halifax,2,Ice hockey,QMJHL,Halifax Mooseheads,CHL/QMJHL,Roster varies annually; verify official roster,Nathan MacKinnon; Jonathan Drouin; Nikolaj Ehlers,Strong Halifax junior-hockey marker.,Junior rosters are volatile.,halifaxmooseheads.ca; chl.ca
Nova Scotia/Halifax,3,Canadian football,CFL context,Touchdown Atlantic / Atlantic football,CFL event context,N/A - no permanent CFL team,N/A,"Use for Atlantic CFL-event context, not a Halifax team.",High uncertainty; avoid overclaiming local team culture.,cfl.ca
Newfoundland and Labrador,1,Basketball,BSL,Newfoundland Rogues,Basketball Super League,Shaquille Keith; Armani Chaney; Isiah Osborne,Carl English; Daniel Cleary; Alex Faulkner,Current regional sports seed with broader NL athlete history.,Higher uncertainty; verify team status/current roster.,therogues.ca; basketballsuperleague.ca
Newfoundland and Labrador,2,Ice hockey,ECHL/AHL history,Newfoundland Growlers / St. Johns hockey context,ECHL/AHL history,N/A - Growlers ceased operations,Michael Ryder; Daniel Cleary; Ryane Clowe,NL hockey context is strong but team landscape changes.,Do not present defunct teams as current.,echl.com; hockey-reference.com
Newfoundland and Labrador,3,Soccer,CPL advocacy/local soccer,St. Johns soccer context,local/aspirational,Roster varies,Laurence Vincent-Lapointe?; local lists vary,Soccer participation exists but pro-team data is limited.,High uncertainty; use only with local context.,canadasoccer.com
Winnipeg/Manitoba,1,Ice hockey,NHL,Winnipeg Jets,NHL,Connor Hellebuyck; Kyle Connor; Mark Scheifele,Dale Hawerchuk; Teemu Selanne; Bobby Hull,Primary Winnipeg/Manitoba NHL seed.,Weak cultural signal only.,nhl.com/jets/roster
