use,avoid,notes
color/favor,colour/favour,-or
organize/realize,organise/realise,-ize
license,licence,noun and verb
practice,practise,noun and verb
traveling/modeling,travelling/modelling,single consonant
center/theater,centre/theatre,-er
tire/curb/gray/aluminum,tyre/kerb/grey/aluminium,US forms
defense/offense,defence/offence,US -ense forms
enroll/enrolled/enrolling,enrol/enrolled/enrolling,US double l in enroll base
check for bank instrument and verify,cheque for bank instrument,US uses check
mom,mum,family term; regional/family variation exists but mom is broad default
