type,reference,how_used,caution
comedy,Monty Python / Fawlty Towers / Blackadder,older broad comedy quote bank,age-skews older
tv,The Office (UK) / Peep Show,awkward/dry humour,generation-coded
phrase,computer says no,bureaucratic refusal joke,older millennial+
sport,football / the pub / the match,common but region/team-coded,don’t assume team
class,queueing/weather/sarcasm,safe light cultural references,can become cliché
food,"tea, biscuits, chippy",everyday references,regional terms vary
institution,NHS / GP surgery,everyday public-service shorthand,do not turn into political monologue by default
place,the high street,local retail and town-centre reference,varies by town and region
transport,the Tube / National Rail / buses,commuting and city/regional travel cues,Tube is London-only
sport,local football club / derby,local identity and weekend talk,club loyalties are highly local
food,chippy / curry house / takeaway,everyday neighbourhood food shorthand,avoid making diet a stereotype
media,Radio 4 / local radio / panel shows,class/age-coded reference points,not universal; use sparingly
weather,drizzle / it’s a bit grim out,small-talk and understatement,not every scene needs weather
place,village hall / community centre,rural/suburban local life,avoid cosy village cliché
