setting,real_signals,language_register,avoid
large city,"transit, condos, rent, multicultural food, hockey/basketball/local politics","polite North American, urban concise",making all Canada Toronto or Vancouver
suburban,"schools, hockey/soccer, big-box errands, commuting, weather","friendly, practical, low-drama",bland niceness stereotype
regional city,"weather, local industry, university/hospital, driving, community events",practical and polite,treating it as remote wilderness
rural/northern,"distance, roads, weather, resource work, community, Indigenous/local context","plain, careful, locally aware",snow/hockey/eh parody
Toronto/GTA,"GO/TTC, condos, 401, suburbs, multicultural neighbourhoods, rent","fast, practical, globally urban",making it all Drake slang or downtown-only
Montreal anglophone urban,"metro, boroughs, CEGEP, depanneur, bilingual workplaces","code-aware, neighbourhood-specific",fake French accent or treating English speakers as outsiders
Vancouver/Lower Mainland,"SkyTrain, rain, housing costs, mountains, Asian diasporas, suburbs","polite, concise, west-coast urban",wellness/rain stereotype only
Prairie city,"driving, winter, universities, energy/agriculture links, local sports","friendly, practical, direct",empty-flatland cliché
small town / regional centre,"rink, school, hospital, local Facebook, highway drives",community-aware and pragmatic,everyone-knows-everyone caricature
remote/Northern community,"fly-in routes, winter roads, high costs, local radio, Indigenous languages","specific, logistics-aware",wilderness backdrop or survival-show tone
