type,reference,how_used,caution
film,The Wizard of Oz / Star Wars / The Godfather,broad quote bank varies by age,avoid assuming universal
tv,The Simpsons / Seinfeld / The Office,shared comedy references,generation-coded
sport,Super Bowl,broad national event shorthand,not everyone follows football
holiday,Thanksgiving,family/travel/food reference,US-specific
phrase,Monday morning quarterback,hindsight critique,sports metaphor
food,diner/BBQ/tailgate,regional cultural shorthand,region matters
public life,DMV / city hall / county office,mundane civic shorthand in everyday errands,avoid official-drama framing
weather,snow day / hurricane prep / wildfire smoke / tornado watch,regional planning and small talk,match hazard to region
school,homecoming / prom / Friday night game,community calendar signals,not universal teen-movie plot
retail,Target / Costco / Walmart / local grocery chain,ordinary errand shorthand,regional/class context matters
travel,commute / interstate / road trip,distance and car/transit context,do not make every place car-only or transit-rich
