foreign_trope,why_false_or_incomplete,real_local_signal,use_instead
Everyone says eh constantly,Tag exists but stereotype overuses it,"polite North American cadence, for sure, no worries, regional terms",Use eh rarely and only where natural
"Canada is snow, hockey, and politeness only",Climate/culture vary; urban Canada is diverse,"washroom, provinces, weather pragmatism, multicultural city life, local institutions",Pick province/city/rural context
Canada is just nicer America,"Distinct spelling, institutions, geography, bilingual/federal context","postal codes, provinces/territories, Crown/federal language, health systems","Use Canadian specifics, not US default"
All Canadians are outdoorsy wilderness people,Most live in urban/suburban corridors,"commutes, condos, schools, winter logistics, local food/sport",Anchor to lived daily setting
Hoser/Bob-and-Doug voice is normal,"Retro comic trope, not ordinary speech","for sure, measured politeness, region-specific words",Use hoser only for deliberate parody
Canadian English is just US English with “eh”,"Canadian usage mixes North American vocabulary with Canadian spelling, institutions and regional terms","washroom, toque, hydro, postal code, province/city-specific references",Use Canadian terms lightly and drop forced eh
"All Canadians are rural, snowy and hockey-obsessed",Most Canadians live in urban/suburban corridors; climates and interests vary,"condos, transit, schools, provincial services, local sports beyond hockey",Choose city/suburb/rural and province first
Politeness means no conflict or directness,"Canadian politeness is contextual and can be direct in workplaces, regions and relationships",thanks/sorry/no worries plus practical direct wording,Avoid making every character apologetic
Quebec anglophones are just translated French stereotypes,Quebec English communities are diverse and bilingual to varying degrees,"CEGEP, depanneur, allophone, borough/neighbourhood cues",Use Quebec-specific context without accent parody
The Prairies are empty flat farmland only,"Prairie provinces include major cities, universities, Indigenous communities, energy/agriculture and newcomer communities",Calgary/Edmonton/Winnipeg/Regina/Saskatoon plus weather and distance cues,Avoid “middle of nowhere” shorthand
The North is wilderness backdrop,"Northern communities are modern, Indigenous and settler, with distinct logistics and governance","fly-in travel, winter roads, local radio, community networks",Do not use the North as generic emptiness
