locale,rank,sport,code,team,league,current_players,notable_historic_players,notes,caution,sources
NYC/New York,1,Baseball,MLB,New York Yankees,MLB,Aaron Judge; Gerrit Cole; Jazz Chisholm Jr.,Babe Ruth; Lou Gehrig; Derek Jeter,Strong NYC-area marker but nationally widespread.,Sports fandom is weak locality evidence only.,mlb.com/yankees/roster
NYC/New York,2,Basketball,NBA,New York Knicks,NBA,Jalen Brunson; Karl-Anthony Towns; Mikal Bridges,Walt Frazier; Patrick Ewing; Willis Reed,MSG/Knicks references are common NYC shorthand.,Do not infer residence or identity.,nba.com/knicks/roster
NYC/New York,3,Baseball,MLB,New York Mets,MLB,Francisco Lindor; Juan Soto; Pete Alonso,Tom Seaver; Mike Piazza; David Wright,Queens/Long Island/NYC baseball context alongside Yankees.,Team choice can be family/history not location.,mlb.com/mets/roster
Boston/Massachusetts,1,Basketball,NBA,Boston Celtics,NBA,Jayson Tatum; Jaylen Brown; Derrick White,Bill Russell; Larry Bird; Paul Pierce,High-salience Boston/New England sports reference.,Weak locality signal only.,nba.com/celtics/roster
Boston/Massachusetts,2,Hockey,NHL,Boston Bruins,NHL,David Pastrnak; Charlie McAvoy; Jeremy Swayman,Bobby Orr; Ray Bourque; Patrice Bergeron,Common Boston/New England hockey marker.,Weak locality signal only.,nhl.com/bruins/roster
Boston/Massachusetts,3,Football,NFL,New England Patriots,NFL,Drake Maye; Christian Gonzalez; Rhamondre Stevenson,Tom Brady; Rob Gronkowski; Tedy Bruschi,Regional NFL team for wider New England.,Not Boston-only; broad regional fandom.,patriots.com/team/players-roster
Philadelphia,1,Football,NFL,Philadelphia Eagles,NFL,Jalen Hurts; Saquon Barkley; A.J. Brown,Reggie White; Brian Dawkins; Jason Kelce,High-salience Philadelphia sports reference.,Weak locality signal only.,philadelphiaeagles.com/team/players-roster
Philadelphia,2,Baseball,MLB,Philadelphia Phillies,MLB,Bryce Harper; Trea Turner; Zack Wheeler,Mike Schmidt; Steve Carlton; Chase Utley,Philadelphia/South Jersey/Delaware Valley baseball marker.,Weak locality signal only.,mlb.com/phillies/roster
Philadelphia,3,Basketball,NBA,Philadelphia 76ers,NBA,Tyrese Maxey; Joel Embiid; Paul George,Julius Erving; Allen Iverson; Charles Barkley,Strong Philly basketball context.,Weak locality signal only.,nba.com/sixers/roster
Chicago,1,Football,NFL,Chicago Bears,NFL,Caleb Williams; DJ Moore; Montez Sweat,Walter Payton; Dick Butkus; Mike Ditka,Core Chicago football marker.,Weak locality signal only.,chicagobears.com/team/players-roster
Chicago,2,Baseball,MLB,Chicago Cubs,MLB,Pete Crow-Armstrong; Dansby Swanson; Justin Steele,Ernie Banks; Ryne Sandberg; Ron Santo,North Side/Wrigley marker; Cubs fandom is also national.,Do not infer side/neighbourhood from Cubs mention.,mlb.com/cubs/roster
Chicago,3,Hockey,NHL,Chicago Blackhawks,NHL,Connor Bedard; Frank Nazar; Alex Vlasic,Bobby Hull; Stan Mikita; Jonathan Toews,Chicago winter-sports marker.,Weak locality signal only.,nhl.com/blackhawks/roster
Texas/Houston/Dallas,1,Football,NFL,Dallas Cowboys,NFL,Dak Prescott; CeeDee Lamb; Micah Parsons,Roger Staubach; Emmitt Smith; Troy Aikman,"Broad Texas/national NFL marker, especially DFW.",Very nationally visible; weak locality evidence.,dallascowboys.com/team/players-roster
Texas/Houston/Dallas,2,Baseball,MLB,Houston Astros,MLB,Jose Altuve; Yordan Alvarez; Framber Valdez,Craig Biggio; Jeff Bagwell; Nolan Ryan,Strong Houston baseball marker.,Houston-specific not all-Texas proof.,mlb.com/astros/roster
Texas/Houston/Dallas,3,College football,CFB,Texas Longhorns football,NCAA,Arch Manning; Anthony Hill Jr.; Colin Simmons,Earl Campbell; Ricky Williams; Vince Young,"Statewide college-football marker, especially Austin/alumni contexts.",College fandom does not imply locality.,texassports.com/sports/football/roster
Atlanta,1,Baseball,MLB,Atlanta Braves,MLB,Ronald Acuna Jr.; Matt Olson; Spencer Strider,Hank Aaron; Chipper Jones; Greg Maddux,Strong Atlanta and broader Southeast baseball marker.,Weak locality signal only.,mlb.com/braves/roster
Atlanta,2,Football,NFL,Atlanta Falcons,NFL,Bijan Robinson; Drake London; A.J. Terrell,Deion Sanders; Matt Ryan; Julio Jones,Useful Atlanta NFL marker.,Weak locality signal only.,atlantafalcons.com/team/players-roster
Atlanta,3,Basketball,NBA,Atlanta Hawks,NBA,Trae Young; Jalen Johnson; Zaccharie Risacher,Dominique Wilkins; Bob Pettit; Dikembe Mutombo,Atlanta basketball marker.,Weak locality signal only.,nba.com/hawks/roster
San Francisco Bay Area,1,Football,NFL,San Francisco 49ers,NFL,Brock Purdy; Christian McCaffrey; Fred Warner,Joe Montana; Jerry Rice; Steve Young,Bay Area/Northern California football marker.,Weak locality signal only.,49ers.com/team/players-roster
San Francisco Bay Area,2,Basketball,NBA,Golden State Warriors,NBA,Stephen Curry; Jimmy Butler; Draymond Green,Wilt Chamberlain; Rick Barry; Klay Thompson,Bay Area NBA marker; fandom became national.,Weak locality signal only.,nba.com/warriors/roster
San Francisco Bay Area,3,Baseball,MLB,San Francisco Giants,MLB,Rafael Devers; Logan Webb; Jung Hoo Lee,Willie Mays; Barry Bonds; Buster Posey,San Francisco/NorCal baseball marker.,Weak locality signal only.,mlb.com/giants/roster
Los Angeles/Southern California,1,Baseball,MLB,Los Angeles Dodgers,MLB,Shohei Ohtani; Mookie Betts; Freddie Freeman,Sandy Koufax; Jackie Robinson; Clayton Kershaw,Very strong LA/Southern California marker.,Globally visible; weak locality evidence alone.,mlb.com/dodgers/roster
Los Angeles/Southern California,2,Basketball,NBA,Los Angeles Lakers,NBA,LeBron James; Luka Doncic; Austin Reaves,Magic Johnson; Kobe Bryant; Kareem Abdul-Jabbar,LA basketball marker with global fandom.,Weak locality signal only.,nba.com/lakers/roster
Los Angeles/Southern California,3,Football,NFL,Los Angeles Rams,NFL,Matthew Stafford; Puka Nacua; Kyren Williams,Eric Dickerson; Marshall Faulk; Aaron Donald,LA NFL marker after Rams return.,Weak locality signal only.,therams.com/team/players-roster
