locale,category,reference,what_it_signals,typical_phrase,generation_or_register,strength,caution,sources
London,media/local/national,BBC London / Evening Standard / Time Out London,London news/events layer,"BBC London travel, Standard story, Time Out listing",neutral/local,medium,Tourists also use Time Out; combine with daily-life clues.,bbc.co.uk; standard.co.uk; timeout.com/london
London,public life,TfL status / Mayor of London / borough notices,transport and local governance media rhythm,"TfL status update, mayoral announcement",neutral/admin,high,Formal/admin context rather than personality.,tfl.gov.uk; london.gov.uk
Scotland/Glasgow,media/public,BBC Scotland / STV / The Herald,Scottish broadcast/newspaper ecology,"STV News, BBC Scotland debate",neutral/local,medium,Scotland-wide; Glasgow needs extra clues.,bbc.co.uk/scotland; stv.tv; heraldscotland.com
Wales/Cardiff,media/public,BBC Wales / Nation.Cymru / WalesOnline,Welsh media ecology,"BBC Wales piece, WalesOnline headline",neutral/local,medium,Do not infer Welsh-language ability.,bbc.co.uk/wales; nation.cymru; walesonline.co.uk
Northern Ireland/Belfast,media/public,BBC NI / Belfast Telegraph / Irish News,NI/Belfast media ecology,"BBC NI report, BelTel story",neutral/local,medium,High political/community sensitivity; avoid identity assumptions.,bbc.co.uk/news/northern_ireland; belfasttelegraph.co.uk
North East/Newcastle,media/local,ChronicleLive / BBC Newcastle,North East local media layer,"ChronicleLive story, BBC Newcastle phone-in",casual/local,medium,Clickbait/local news style is not voice guidance by itself.,chroniclelive.co.uk; bbc.co.uk
Greater Manchester,media/local,Manchester Evening News / BBC Radio Manchester,GM local media ecology,"MEN story, Radio Manchester caller",casual/local,medium,Greater Manchester has many borough identities.,manchestereveningnews.co.uk
Liverpool,media/local,Liverpool Echo / BBC Radio Merseyside,Liverpool/Merseyside media layer,"Echo story, Radio Merseyside",casual/local,medium,Avoid caricaturing Scouse identity.,liverpoolecho.co.uk
Yorkshire/Leeds,media/local,Yorkshire Post / Leeds Live,Yorkshire/Leeds media ecology,"Yorkshire Post piece, Leeds Live update",neutral/local,medium,Yorkshire is internally diverse.,yorkshirepost.co.uk; leedslive.co.uk
West Midlands/Birmingham,media/local,Birmingham Mail / BBC WM,Birmingham/West Midlands media ecology,"BBC WM phone-in, Birmingham Mail story",casual/local,medium,West Midlands identities differ by city/town.,birminghammail.co.uk; bbc.co.uk
