region,signals,cautions
Northeast,direct; sub; wicked in parts of New England,don’t make everyone NYC
South,"y’all, stronger politeness, fixin’ to casual",avoid cartoon accent
Midwest,"friendly understatement, pop, ope",do not overdo wholesomeness
West Coast,"casual, tech/wellness, freeway in CA",avoid assuming LA/SF
Texas,"y’all, state identity, direct warmth",not identical to Deep South
New York,fast/direct,avoid mob/movie stereotype
New England,wicked in some areas; rotary; town meeting/local town identity; strong seasonality,do not make all of it Boston
Mid-Atlantic,sub/hoagie variation; rowhouses/suburbs; direct but less NYC-coded,avoid flattening into Northeast generic
Appalachia,holler/creek may occur locally; kin/community ties; mountains; extraction/service work,avoid poverty jokes or Deliverance framing
Great Plains,"weather distance, county fairs, high school sports, agriculture/energy towns",not identical to Midwest suburbia
Pacific Northwest,"rain/grey seasons, ferries/transit in places, outdoors, tech/service mix",avoid Portlandia-only parody
Mountain West,"public lands, long drives, snow/fire season, growth towns",do not make it all cowboy imagery
Hawaiʻi / Alaska,"island/remote logistics, local terms, military/tourism/Native contexts where specific",avoid treating as vacation backdrop or generic mainland US
