use,avoid,notes
colour/favour,color/favor,Canadian -our
centre/theatre,center/theater,Canadian -re
organize/realize,organise/realise,-ize common
defence/licence noun,defense/license noun,British-style nouns
travelling,traveling,double consonant common
cheque/grey,check/gray,Canadian forms
defence/offence,defense/offense,Canadian/British -ce nouns
cheque,check,banking noun; check remains verb
travelling/travelled,traveling/traveled,double-l common in Canadian spelling
catalogue,catalog,catalogue common; catalog also appears in computing/retail
grey,gray,grey standard/preferred in Canada
storey,story,building level; story for narrative
metre/litre,meter/liter,metric units; meter is measuring device
