locale,rank,sport,code,team,league,current_players,notable_historic_players,notes,caution,sources
London,1,Football,Premier League,Arsenal,Premier League,Bukayo Saka; Martin Odegaard; Declan Rice,Thierry Henry; Tony Adams; Ian Wright,Major London football seed; Chelsea/Spurs/West Ham also matter.,Club choice must never be inferred from London location.,arsenal.com; premierleague.com
London,2,Rugby union,Premiership Rugby,Saracens,Premiership Rugby,Maro Itoje; Owen Farrell; Jamie George,Richard Hill; Kyran Bracken; Schalk Brits,London-area rugby seed.,Rugby has class/subculture variation; evidence only.,saracens.com; premiershiprugby.com
London,3,Cricket,County cricket,Middlesex,County Championship,Stephen Eskinazi; Toby Roland-Jones; Ryan Higgins,Denis Compton; Mike Gatting; Eoin Morgan,Lord’s/Middlesex cricket context.,Cricket allegiance is niche and not citywide.,middlesexccc.com
Scotland/Glasgow,1,Football,Scottish Premiership,Celtic,SPFL,Callum McGregor; Daizen Maeda; Cameron Carter-Vickers,Jimmy Johnstone; Henrik Larsson; Billy McNeill,High-salience Glasgow football seed.,"Do not infer religion, politics, ethnicity, or identity.",celticfc.com; spfl.co.uk
Scotland/Glasgow,2,Football,Scottish Premiership,Rangers,SPFL,James Tavernier; Jack Butland; Nicolas Raskin,John Greig; Ally McCoist; Brian Laudrup,Essential counterpart in Glasgow football context.,Do not infer sectarian/community identity.,rangers.co.uk; spfl.co.uk
Scotland/Glasgow,3,Rugby union,URC,Glasgow Warriors,United Rugby Championship,Sione Tuipulotu; Huw Jones; Jack Dempsey,Tommy Seymour; Al Kellock; Stuart Hogg,Glasgow rugby seed.,Rugby signal is not universal Glasgow culture.,glasgowwarriors.org; unitedrugby.com
Wales/Cardiff,1,Rugby union,URC,Cardiff Rugby,United Rugby Championship,Taulupe Faletau; Josh Adams; Mason Grady,Gareth Edwards; Bleddyn Williams; Jamie Roberts,Prominent Cardiff/Wales rugby context.,Avoid assuming Welsh users are rugby fans.,cardiffrugby.wales; unitedrugby.com
Wales/Cardiff,2,Football,EFL Championship,Cardiff City,EFL,Aaron Ramsey; Rubin Colwill; Callum Robinson,John Toshack; Craig Bellamy; Phil Dwyer,Cardiff football seed.,Football support varies across Wales.,cardiffcityfc.co.uk; efl.com
Wales/Cardiff,3,Cricket,County cricket,Glamorgan,County Championship,Sam Northeast; Marnus Labuschagne; Timm van der Gugten,Tony Lewis; Robert Croft; Hugh Morris,Welsh county cricket context.,Cricket is not universal Welsh localness.,glamorgancricket.com
Northern Ireland/Belfast,1,Ice hockey,EIHL,Belfast Giants,Elite Ice Hockey League,Mark Cooper; J.J. Piccinich; Jackson Whistle,Colin Shields; Paxton Schulte; Steve Thornton,Cross-community Belfast sports brand.,Do not infer community background or politics.,belfastgiants.com; eliteleague.co.uk
Northern Ireland/Belfast,2,Football,NIFL Premiership,Linfield,NIFL Premiership,Chris Shields; Joel Cooper; Matthew Fitzpatrick,Tommy Dickson; Glenn Ferguson; Noel Bailie,Major Belfast football seed.,High sensitivity: never infer politics/religion from club mention.,linfieldfc.com; nifootballleague.com
Northern Ireland/Belfast,3,Gaelic games,GAA,Antrim GAA,GAA,Team varies by county panel,Kevin Armstrong; Anto Finnegan; Terence McNaughton,Useful Belfast/Antrim Gaelic games context.,Community/politics assumptions are high-risk; use only when context warrants.,antrim.gaa.ie; gaa.ie
North East/Newcastle,1,Football,Premier League,Newcastle United,Premier League,Alexander Isak; Bruno Guimaraes; Sandro Tonali,Alan Shearer; Jackie Milburn; Peter Beardsley,High-salience Newcastle/North East seed.,Weak cultural clue only.,newcastleunited.com; premierleague.com
North East/Newcastle,2,Rugby union,Premiership Rugby,Newcastle Falcons,Premiership Rugby,Adam Radwan; Callum Chick; Jamie Blamire,Jonny Wilkinson; Matt Burke; Doddie Weir,North East rugby-union seed.,Rugby is not universal local culture.,newcastlefalcons.co.uk
North East/Newcastle,3,Basketball,BBL/SLB,Newcastle Eagles,British basketball,Darius Defoe; Marc Steutel squad varies,Fab Flournoy; Andrew Bridge; Charles Smith,Newcastle basketball has strong local history.,League/rosters change; verify.,newcastle-eagles.com
Greater Manchester,1,Football,Premier League,Manchester City,Premier League,Erling Haaland; Phil Foden; Rodri,Colin Bell; Sergio Aguero; Vincent Kompany,Major Greater Manchester club.,Manchester United is equally/also salient; never infer allegiance.,mancity.com; premierleague.com
Greater Manchester,2,Football,Premier League,Manchester United,Premier League,Bruno Fernandes; Kobbie Mainoo; Alejandro Garnacho,Bobby Charlton; George Best; Ryan Giggs,Essential counterpart in Greater Manchester football.,Do not infer club support from locality.,manutd.com; premierleague.com
Greater Manchester,3,Rugby league,Super League,Wigan Warriors,Super League,Bevan French; Jai Field; Harry Smith,Billy Boston; Ellery Hanley; Shaun Edwards,Greater Manchester/Lancashire rugby-league seed.,Wigan is not Manchester city centre; locale-specific context matters.,wiganwarriors.com; superleague.co.uk
